
✗ Errors (1418)
| Check               | Artifact                                                                                                | Message                                                                                                                                                                                                                                                                                                            | Suggestion                                                                                                                                                                 |
| wikilink_resolution | .lexibrary/designs/src/lexibrary/archivist/service.py.md                                                | [[BamlAsyncClient]] does not resolve                                                                                                                                                                                                                                                                               | -                                                                                                                                                                          |
| wikilink_resolution | .lexibrary/designs/src/lexibrary/archivist/service.py.md                                                | [[ArchivistGenerateDesignFile]] does not resolve                                                                                                                                                                                                                                                                   | -                                                                                                                                                                          |
| wikilink_resolution | .lexibrary/designs/src/lexibrary/archivist/service.py.md                                                | [[LLMConfig]] does not resolve                                                                                                                                                                                                                                                                                     | -                                                                                                                                                                          |
| wikilink_resolution | .lexibrary/designs/src/lexibrary/archivist/service.py.md                                                | [[RateLimiter]] does not resolve                                                                                                                                                                                                                                                                                   | -                                                                                                                                                                          |
| wikilink_resolution | .lexibrary/designs/src/lexibrary/archivist/service.py.md                                                | [[LLM provider]] does not resolve                                                                                                                                                                                                                                                                                  | -                                                                                                                                                                          |
| wikilink_resolution | .lexibrary/designs/src/lexibrary/archivist/skeleton.py.md                                               | [[DesignFile]] does not resolve                                                                                                                                                                                                                                                                                    | -                                                                                                                                                                          |
| wikilink_resolution | .lexibrary/designs/src/lexibrary/archivist/skeleton.py.md                                               | [[Design file frontmatter]] does not resolve                                                                                                                                                                                                                                                                       | -                                                                                                                                                                          |
| wikilink_resolution | .lexibrary/designs/src/lexibrary/archivist/skeleton.py.md                                               | [[Staleness metadata]] does not resolve                                                                                                                                                                                                                                                                            | -                                                                                                                                                                          |
| wikilink_resolution | .lexibrary/designs/src/lexibrary/archivist/skeleton.py.md                                               | [[dependency extraction]] does not resolve                                                                                                                                                                                                                                                                         | -                                                                                                                                                                          |
| wikilink_resolution | .lexibrary/designs/src/lexibrary/archivist/skeleton.py.md                                               | [[interface extraction]] does not resolve                                                                                                                                                                                                                                                                          | Did you mean [[CLI Service Extraction Pattern]]?                                                                                                                           |
| wikilink_resolution | .lexibrary/designs/src/lexibrary/archivist/skeleton.py.md                                               | [[AST parsing]] does not resolve                                                                                                                                                                                                                                                                                   | -                                                                                                                                                                          |
| wikilink_resolution | .lexibrary/designs/src/lexibrary/archivist/skeleton.py.md                                               | [[module docstring heuristic]] does not resolve                                                                                                                                                                                                                                                                    | -                                                                                                                                                                          |
| wikilink_resolution | .lexibrary/designs/src/lexibrary/archivist/topology.py.md                                               | [[procedural topology]] does not resolve                                                                                                                                                                                                                                                                           | -                                                                                                                                                                          |
| wikilink_resolution | .lexibrary/designs/src/lexibrary/archivist/topology.py.md                                               | [[.aindex]] does not resolve                                                                                                                                                                                                                                                                                       | -                                                                                                                                                                          |
| wikilink_resolution | .lexibrary/designs/src/lexibrary/archivist/topology.py.md                                               | [[billboard summaries]] does not resolve                                                                                                                                                                                                                                                                           | -                                                                                                                                                                          |
